# 音效 SFX 溯源台账（由 tools/probes/mpq/sfx_provenance.py 生成；⛔ 不手改）
# key	sound	sounds_line	mpq_entry	src_bytes	src_sha256	clip_bytes	clip_sha256	match
hit	impact_blade_swing_1	343	data\global\sfx\combat\impact\sword1.wav	22314	35f756ebc71f4af5fe671033fa34ce1783e5b3687256082c1a1a86b7d0b711a0	22314	35f756ebc71f4af5fe671033fa34ce1783e5b3687256082c1a1a86b7d0b711a0	YES
miss	weapon_1hs_small_1	264	data\global\sfx\combat\weapon\one hand swing small01.wav	11556	acfcc9c071952f3712f6f0b798d5f869545d5306bf094deae847e1547063e827	11556	acfcc9c071952f3712f6f0b798d5f869545d5306bf094deae847e1547063e827	YES
player_hurt	amazon_hit_1	2880	data\global\sfx\combat\player\amazon\soft4.wav	25068	3541da629a6378ba39a6736cd51a540828c424ec8c5702652ce19e540ff51b3d	25068	3541da629a6378ba39a6736cd51a540828c424ec8c5702652ce19e540ff51b3d	YES
player_die	amazon_death_1	2885	data\global\sfx\combat\player\amazon\death1.wav	31916	0aba77ea471651ee9ae72dae4e532ef01516536cd1c557ba039b29d29f9c1060	31916	0aba77ea471651ee9ae72dae4e532ef01516536cd1c557ba039b29d29f9c1060	YES
player_revive	necromancer_revive_target	2478	data\global\sfx\skill\necromancer\revivetarget.wav	44154	27b3f90d84e84126014b2f8d49e55ab1df17290679a8e6a49e82ea73c8253210	44154	27b3f90d84e84126014b2f8d49e55ab1df17290679a8e6a49e82ea73c8253210	YES
monster_die	fallen_death_1	902	data\global\sfx\monster\fallen\death1.wav	42030	6ce16389c5d45df808cf2a780e35e7360798f9aad928251433ed642bcbc93457	42030	6ce16389c5d45df808cf2a780e35e7360798f9aad928251433ed642bcbc93457	YES
monster_attack	fallen_attack_1	892	data\global\sfx\monster\fallen\roar1.wav	19530	c7f09de602810242f497ad29c246812262a476d0760949795b48caf993b34af0	19530	c7f09de602810242f497ad29c246812262a476d0760949795b48caf993b34af0	YES
monster_revive	fallenshaman_resurrect	941	data\global\sfx\monster\fallenshaman\resurrect.wav	29930	16df8c46131c60851bea354f8634ea8b6a04ee98a8238bcb16aa3bf6cde0a942	29930	16df8c46131c60851bea354f8634ea8b6a04ee98a8238bcb16aa3bf6cde0a942	YES
cast	amazon_magicarrow_1	2260	data\global\sfx\skill\amazon\magicarrow1.wav	30594	7fda1a467c824311f63adc962dfe5f1b863a916e7bdbe0a0d10074a3e6c0d72f	30594	7fda1a467c824311f63adc962dfe5f1b863a916e7bdbe0a0d10074a3e6c0d72f	YES
cast_fire	monster_cast_fire	424	data\global\sfx\skill\sorceress\firecast.wav	44744	fc8a2441eda59a94d8cba6afd9bc72efefe75ccebddb67347f7d4efbbc6411cd	44744	fc8a2441eda59a94d8cba6afd9bc72efefe75ccebddb67347f7d4efbbc6411cd	YES
